,fields.categorieentreprise,fields.etatadministratifunitelegale,fields.geolocetablissement,fields.trancheeffectifsunitelegale,fields.trancheeffectifsunitelegaletriable,fields.siretsiegeunitelegale,fields.siret,fields.etablissementsiege,fields.sectionunitelegale,fields.codepostaletablissement,fields.caractereemployeurunitelegale,fields.datecreationunitelegale,fields.datecreationetablissement,fields.denominationunitelegale,geometry.type,geometry.coordinates
4963,,Active,"[48.872589, 2.379154]",,,81764502100012,81764502100012,oui,"Arts, spectacles et activités récréatives",75020.0,Non,2015-12-15,2015-12-15,L'AVENTURE BAR FLOREAL,Point,"[2.379154, 48.872589]"
4964,PME,Active,"[48.881104, 2.336977]",Etablissement non employeur,-1,78874278100016,78874278100016,oui,"Arts, spectacles et activités récréatives",75009.0,Oui,2012-09-26,2012-09-26,LA COMPAGNIE BODY AND SOUL CORPS ET AME,Point,"[2.336977, 48.881104]"
4965,,Active,"[48.870498, 2.35756]",,,79422968200016,79422968200016,oui,Autres activités de services,75010.0,Non,2012-10-05,2012-10-05,ASSOCIATION D AFGHANISTAN ET D AILLEURS,Point,"[2.35756, 48.870498]"
4966,PME,Active,"[43.675566, 4.620817]",1 ou 2 salariés,01,35132744000043,35132744000043,oui,Enseignement,13200.0,Oui,1987-06-01,2003-01-01,ASSOCIATION PHONURGIA NOVA,Point,"[4.620817, 43.675566]"
4967,PME,Active,"[49.183485, -0.347987]",1 ou 2 salariés,01,50999529600027,50999529600027,oui,"Arts, spectacles et activités récréatives",14000.0,Oui,2009-01-15,2011-01-10,GROUPE MARCEL PROUST,Point,"[-0.347987, 49.183485]"
4968,,Active,"[48.84322, 2.294372]",,,82041095900036,82041095900028,non,Autres activités de services,75015.0,Non,2016-03-22,2016-11-28,UNIR - UNIVERSITES ET REFUGIE-E-S,Point,"[2.294372, 48.84322]"
4969,PME,Active,"[48.829413, 2.331167]",1 ou 2 salariés,01,52436639000028,52436639000010,non,"Arts, spectacles et activités récréatives",75014.0,Oui,2010-06-22,2010-06-22,LES MOISSONS DE LUNE,Point,"[2.331167, 48.829413]"
4970,,Active,"[48.892675, 2.372697]",Etablissement non employeur,-1,44792630400018,44792630400018,oui,"Arts, spectacles et activités récréatives",75019.0,Non,1946-10-15,1946-10-15,ASS SPORTIVE DES JEUNES DU BATIMENT,Point,"[2.372697, 48.892675]"
4971,,Active,"[-21.275868, 55.513245]",,,81322528100019,81322528100019,oui,Autres activités de services,97430.0,Non,2015-08-03,2015-08-03,UN TEMPS POUR TOUS,Point,"[55.513245, -21.275868]"
4972,PME,Active,"[48.869095, 2.329506]",3 à 5 salariés,02,80332350000030,80332350000022,non,Autres activités de services,75002.0,Oui,2014-06-11,2015-11-17,LIRE POUR EN SORTIR,Point,"[2.329506, 48.869095]"
4973,,Active,"[48.853285, 2.296396]",,,49418969900015,49418969900015,oui,Autres activités de services,75015.0,Non,2000-02-18,2000-02-18,ASSOCIATION FAMILLES DE FRANCE 15EME NORD,Point,"[2.296396, 48.853285]"
4974,,Active,"[48.854884, 2.337841]",,,52910775700054,52910775700021,non,"Activités spécialisées, scientifiques et techniques",75006.0,Non,2010-10-05,2010-12-21,PHOTO SAINT GERMAIN DES PRES,Point,"[2.337841, 48.854884]"
4975,,Active,"[48.882408, 2.525678]",,,52534855300021,52534855300013,non,"Arts, spectacles et activités récréatives",93250.0,Non,2010-08-02,2010-08-02,JE SUIS TON PERE (TIN TIN TIN TIN TINTIN TIN TINTIN),Point,"[2.525678, 48.882408]"
4976,PME,Active,"[43.618299, 1.432379]",6 à 9 salariés,03,41999613700032,41999613700032,oui,"Arts, spectacles et activités récréatives",31200.0,Oui,1997-09-12,2005-04-18,ASS TACTIKOLLECTIF,Point,"[1.432379, 43.618299]"
4977,PME,Active,"[43.638727, 3.918357]",Etablissement non employeur,-1,34846601200021,34846601200021,oui,"Arts, spectacles et activités récréatives",34170.0,Non,1988-10-27,1990-11-05,ASSOCIATION TRIAD,Point,"[3.918357, 43.638727]"
4978,,Active,"[48.853071, 2.340867]",,,82425379300015,82425379300015,oui,Autres activités de services,75006.0,Non,2016-11-17,2016-11-17,NEVER BORED,Point,"[2.340867, 48.853071]"
4979,PME,Active,"[48.807885, 2.358495]",0 salarié,00,51903858200028,51903858200010,non,"Arts, spectacles et activités récréatives",94270.0,Oui,2009-12-28,2009-12-28,REALITES,Point,"[2.358495, 48.807885]"
4980,PME,Active,"[48.869009, 2.402699]",0 salarié,00,83319217200025,83319217200017,non,"Arts, spectacles et activités récréatives",75020.0,Non,2017-11-07,2017-11-07,ODETTA,Point,"[2.402699, 48.869009]"
4981,,Active,"[48.893351, 2.384662]",,,52354886500014,52354886500014,oui,"Arts, spectacles et activités récréatives",75019.0,Non,2009-07-09,2009-07-09,ASSOCIATION COEUR DE SABAR,Point,"[2.384662, 48.893351]"
4982,PME,Active,"[48.866557, 2.376707]",1 ou 2 salariés,01,42511010300024,42511010300024,oui,Autres activités de services,75011.0,Oui,1999-11-09,2013-12-05,COLLECTIF DES ASSOCIATIONS CITOYENNES,Point,"[2.376707, 48.866557]"
4983,,Active,"[48.859136, 2.358333]",,,80518374600017,80518374600017,oui,Autres activités de services,75003.0,Non,2014-09-11,2014-09-11,ART OF CHANGE 21,Point,"[2.358333, 48.859136]"
4984,,Active,"[48.87346, 2.390941]",,,75039312600016,75039312600016,oui,Autres activités de services,75020.0,Non,2011-02-06,2011-02-06,IWADIYEN DE FRANCE,Point,"[2.390941, 48.87346]"
4985,,Active,"[48.841912, 2.325312]",,,53246371800017,53246371800017,oui,Enseignement,75014.0,Non,2011-04-28,2011-04-28,ASSOCIATION TANGO PARIS,Point,"[2.325312, 48.841912]"
4986,PME,Active,,3 à 5 salariés,02,41078027400016,41078027400016,oui,Santé humaine et action sociale,75116.0,Oui,1996-10-15,1996-10-15,ASS BUS SOCIAL DENTAIRE,,
4987,PME,Active,"[48.95682, 2.283416]",3 à 5 salariés,02,32978061300033,32978061300033,oui,"Arts, spectacles et activités récréatives",95100.0,Oui,1984-02-01,2007-01-02,THEATRE SANS TOIT,Point,"[2.283416, 48.95682]"
4988,PME,Active,"[48.873142, 2.348002]",0 salarié,00,53233458800029,53233458800011,non,Autres activités de services,75010.0,Oui,2011-02-04,2011-02-04,RESPIRE ASSOCIATION NATIONALE POUR LA PRESERVATION ET L'AMELIORATION DE LA QUALITE DE L'AIR,Point,"[2.348002, 48.873142]"
4989,,Active,"[48.69157, 2.200797]",,,79780582700012,79780582700012,oui,"Arts, spectacles et activités récréatives",91400.0,Non,2011-01-17,2011-01-17,NIRVAN'ART,Point,"[2.200797, 48.69157]"
4990,PME,Active,"[48.863469, 2.369607]",20 à 49 salariés,12,78471425500022,78471425500022,oui,Enseignement,75011.0,Oui,1900-01-01,1989-10-10,FEDERATION SPORTIVE CULTURELLE DE FRANCE,Point,"[2.369607, 48.863469]"
4991,ETI,Active,"[48.863214, 2.333316]",250 à 499 salariés,32,78810524500013,78810524500013,oui,"Arts, spectacles et activités récréatives",75001.0,Oui,1900-01-01,1900-01-01,LES ARTS DECORATIFS,Point,"[2.333316, 48.863214]"
4992,,Cessée,"[48.876552, 2.377185]",Etablissement non employeur,-1,44473884300028,44473884300028,oui,"Arts, spectacles et activités récréatives",75019.0,Oui,2002-10-18,2007-05-14,COMPAGNIE DE LA GRANDE PETITE,Point,"[2.377185, 48.876552]"
4993,PME,Active,"[48.845549, 2.449132]",1 ou 2 salariés,01,45280458600025,45280458600017,non,"Arts, spectacles et activités récréatives",94120.0,Oui,2004-03-01,2004-03-01,THEATRE DU SHABANO,Point,"[2.449132, 48.845549]"
4994,PME,Active,"[48.861501, 2.366084]",Etablissement non employeur,-1,79880628700024,79880628700016,non,"Arts, spectacles et activités récréatives",75003.0,Non,2013-11-26,2013-11-26,COMPAGNIE LES YEUX QUI SONNENT,Point,"[2.366084, 48.861501]"
4995,PME,Active,"[48.847977, 2.297832]",1 ou 2 salariés,01,78940441500018,78940441500018,oui,"Arts, spectacles et activités récréatives",75015.0,Oui,2012-11-02,2012-11-02,LES VAGABONDS,Point,"[2.297832, 48.847977]"
4996,,Active,"[48.834082, 2.401616]",,,50043388300021,50043388300013,non,Autres activités de services,75012.0,Non,2004-02-01,2004-02-01,UN JEUNE UN METIER,Point,"[2.401616, 48.834082]"
4997,PME,Active,"[48.841588, 2.231335]",1 ou 2 salariés,01,82059259000013,82059259000013,oui,"Arts, spectacles et activités récréatives",92100.0,Oui,2016-04-08,2016-04-08,LE REVE FAMILIER,Point,"[2.231335, 48.841588]"
4998,PME,Active,"[48.851138, 2.457244]",1 ou 2 salariés,01,33535723200073,33535723200073,oui,"Arts, spectacles et activités récréatives",94120.0,Oui,1986-01-01,2008-11-24,INFLUENSCENES,Point,"[2.457244, 48.851138]"
4999,PME,Active,"[48.823078, 2.362169]",Etablissement non employeur,-1,75162984100014,75162984100014,oui,Autres activités de services,75013.0,Oui,2011-07-11,2011-07-11,ASS DES ENTREPRISES DE QUARTIER ASIATIQUE PARIS 13,Point,"[2.362169, 48.823078]"
5000,,Active,"[48.847979, 2.27209]",,,79230459400015,79230459400015,oui,"Arts, spectacles et activités récréatives",75016.0,Non,2012-11-09,2012-11-09,LES PETITES FOULEES LYNAUVIA,Point,"[2.27209, 48.847979]"
5001,PME,Active,"[48.835592, 2.325821]",1 ou 2 salariés,01,45096318600025,45096318600025,oui,"Arts, spectacles et activités récréatives",75014.0,Oui,2003-07-24,2008-10-01,SIDERURGIE ESTHETIQUE,Point,"[2.325821, 48.835592]"
5002,,Active,"[48.881189, 2.363804]",,,80396265300017,80396265300017,oui,Autres activités de services,75010.0,Oui,2014-06-18,2014-06-18,NATIONAL DEMOCRATIC CONGRESS FRANCE CHAPTER,Point,"[2.363804, 48.881189]"
5003,PME,Active,"[48.826437, 2.217336]",1 ou 2 salariés,01,53841740300010,53841740300010,oui,"Arts, spectacles et activités récréatives",92310.0,Oui,2011-11-04,2011-11-04,RANCHO ALL STARS,Point,"[2.217336, 48.826437]"
5004,PME,Active,"[48.836387, 2.352456]",Etablissement non employeur,-1,80019372400021,80019372400013,non,Information et communication,75013.0,Non,2014-01-13,2014-01-13,L'ATELIER IMAGE,Point,"[2.352456, 48.836387]"
5005,PME,Active,"[45.833033, 1.305059]",1 ou 2 salariés,01,79534996800029,79534996800029,oui,Autres activités de services,87350.0,Oui,2000-08-02,2014-04-10,"GROUPE DES ANIMATEURS EN GERONTOLOGIE, GERIATRIE, STRUCTURES ET SERVICES POUR PERSONNES AGEES (G.A.G.)",Point,"[1.305059, 45.833033]"
5006,,Active,"[48.868246, 2.712967]",,,75407158700028,75407158700010,non,Information et communication,77400.0,Non,2011-08-31,2011-08-31,NITESCENCE PRODUCTIONS,Point,"[2.712967, 48.868246]"
5007,PME,Active,"[49.727779, 2.330916]",Etablissement non employeur,-1,75045182500020,75045182500020,oui,Information et communication,80250.0,Non,2012-02-28,2012-05-19,IMAGES CONTEMPORAINES,Point,"[2.330916, 49.727779]"
5008,,Cessée,"[48.868938, 2.374559]",Etablissement non employeur,-1,81105367700019,81105367700019,oui,Autres activités de services,75011.0,Oui,2015-02-18,2015-02-18,PARCOURS A VENIR,Point,"[2.374559, 48.868938]"
5009,,Active,"[48.825426, 2.337531]",,,50213764900021,50213764900021,oui,Autres activités de services,75014.0,Non,2007-10-01,2010-06-04,ARTMAYAGE,Point,"[2.337531, 48.825426]"
5010,,Active,"[48.845798, 2.341955]",,,79824855500012,79824855500012,oui,Autres activités de services,75005.0,Non,2013-09-09,2013-09-09,POINT H,Point,"[2.341955, 48.845798]"
5011,,Active,"[48.851623, 2.293219]",,,79062158500013,79062158500013,oui,"Arts, spectacles et activités récréatives",75015.0,Non,2009-02-23,2009-02-23,BESOIN D ETRE,Point,"[2.293219, 48.851623]"
5012,,Active,"[48.824096, 2.319403]",,,79007027000018,79007027000018,oui,Autres activités de services,75014.0,Non,2004-01-15,2004-01-15,ATELIER PARTICIPATION A L'AMENAGEMENT DU 13EME ARRONDISSEMENT,Point,"[2.319403, 48.824096]"
5013,PME,Active,"[48.880978, 2.335937]",Etablissement non employeur,-1,52339954100029,52339954100029,oui,"Arts, spectacles et activités récréatives",75009.0,Oui,2010-05-14,2012-05-01,ASSOCIATION LES NOUVEAUX VAGABONDS,Point,"[2.335937, 48.880978]"
5014,PME,Cessée,"[48.924201, 2.368687]",1 ou 2 salariés,01,32365850000034,32365850000026,non,Hébergement et restauration,93200.0,Oui,1982-01-04,2001-01-01,VACANCES ET FAMILLES ILE DE FRANCE,Point,"[2.368687, 48.924201]"
5015,PME,Active,"[48.872411, 2.364956]",3 à 5 salariés,02,53157184200040,53157184200032,non,"Activités spécialisées, scientifiques et techniques",75010.0,Oui,2010-04-19,2013-11-03,RESEAU DES ENTREPRENEURS CITOYENS,Point,"[2.364956, 48.872411]"
5016,PME,Active,"[50.50536, 2.512431]",1 ou 2 salariés,01,81231555400012,81231555400012,oui,"Arts, spectacles et activités récréatives",62540.0,Oui,2015-02-12,2015-02-12,VAGUEMENT COMPETITIFS,Point,"[2.512431, 50.50536]"
5017,PME,Active,"[48.797046, 2.399038]",Etablissement non employeur,-1,50864146100019,50864146100019,oui,Autres activités de services,94400.0,Oui,2007-09-24,2007-09-24,ARTS TOUS CHAMPS,Point,"[2.399038, 48.797046]"
5018,PME,Active,"[48.861266, 2.378502]",Etablissement non employeur,-1,51744257000035,51744257000035,oui,Autres activités de services,75011.0,Oui,2004-09-30,2015-12-01,ASSOCIATION SITEBAD,Point,"[2.378502, 48.861266]"
5019,PME,Active,"[48.875828, 2.403891]",Etablissement non employeur,-1,44244485700035,44244485700035,oui,Autres activités de services,75020.0,Non,2002-05-23,2009-01-22,COMITE MARCHE DU 23 MAI 1998,Point,"[2.403891, 48.875828]"
5020,,Active,,Etablissement non employeur,-1,43467714200029,43467714200011,non,Autres activités de services,75116.0,Non,1984-01-01,1984-01-01,CLUB DES GLYCOPHILES FRANCAIS,,
5021,,Active,"[48.856257, 2.3088]",,,53916864100014,53916864100014,oui,Autres activités de services,75007.0,Non,2011-12-01,2011-12-01,A.N.P.G.I.G.,Point,"[2.3088, 48.856257]"
5022,PME,Active,"[48.88393, 2.372095]",10 à 19 salariés,11,52940240600050,52940240600050,oui,Autres activités de services,75019.0,Oui,2010-07-29,2016-03-01,ASSOCIATION  ENERGIE PARTAGEE,Point,"[2.372095, 48.88393]"
5023,PME,Active,"[48.824444, 2.322619]",3 à 5 salariés,02,78428653600056,78428653600056,oui,Autres activités de services,75014.0,Oui,1900-01-01,2004-04-10,PAX CHRISTI,Point,"[2.322619, 48.824444]"
5024,PME,Active,"[48.905187, 2.315471]",0 salarié,00,44279526600026,44279526600026,oui,"Arts, spectacles et activités récréatives",92110.0,Non,2002-06-01,2012-02-01,LA BOITE A MOMES,Point,"[2.315471, 48.905187]"
5025,,Cessée,"[48.853077, 2.40117]",Etablissement non employeur,-1,75381378100014,75381378100014,oui,"Arts, spectacles et activités récréatives",75020.0,Oui,2012-04-25,2012-04-25,LE TAC (TRAINING AUTOGERE DU COMEDIEN),Point,"[2.40117, 48.853077]"
5026,,Active,"[48.87236, 2.387125]",,,75140527500015,75140527500015,oui,Autres activités de services,75020.0,Non,2012-02-07,2012-02-07,ASSOCIATION JAYA !,Point,"[2.387125, 48.87236]"
5027,PME,Active,"[48.856411, 2.269952]",Etablissement non employeur,-1,43278255500028,43278255500028,oui,"Arts, spectacles et activités récréatives",75016.0,Oui,2000-07-28,2011-02-28,GRAVESANDE THEATRE,Point,"[2.269952, 48.856411]"
5028,,Active,"[48.864515, 2.350924]",,,81029580800010,81029580800010,oui,Autres activités de services,75002.0,Non,2015-03-03,2015-03-03,IF... - PLATEFORME D'INNOVATION INTERGENERATIONNELLE & INTERDISCIPLINAIRE,Point,"[2.350924, 48.864515]"
5029,,Active,"[48.869602, 2.398142]",,,52452348700014,52452348700014,oui,Autres activités de services,75020.0,Non,2009-09-17,2009-09-17,AGIR POUR LE DEPARTEMENT DE GOUDIRY,Point,"[2.398142, 48.869602]"
5030,PME,Active,"[48.879793, 2.371921]",1 ou 2 salariés,01,78868669900026,78868669900018,non,Autres activités de services,75019.0,Oui,2012-05-14,2012-05-14,OUISHARE,Point,"[2.371921, 48.879793]"
5031,,Active,"[48.869323, 2.372383]",,,79857823300024,79857823300016,non,Information et communication,75011.0,Non,2012-09-26,2012-09-26,"NOISE, LA VILLE",Point,"[2.372383, 48.869323]"
5032,PME,Active,"[48.898852, 2.485716]",Etablissement non employeur,-1,51112270700017,51112270700017,oui,"Arts, spectacles et activités récréatives",93140.0,Non,2007-10-01,2007-10-01,COMPAGNIE BIJETTE 93,Point,"[2.485716, 48.898852]"
5033,,Active,"[48.893801, 2.32788]",,,74993824700014,74993824700014,oui,"Arts, spectacles et activités récréatives",75018.0,Non,2011-12-23,2011-12-23,ASSOCIATION IDANCE,Point,"[2.32788, 48.893801]"
5034,PME,Active,,10 à 19 salariés,11,47958677800033,47958677800033,oui,"Arts, spectacles et activités récréatives",75116.0,Oui,2003-02-11,2011-01-01,LE PETIT SMASH,,
5035,,Active,"[48.82704, 2.36324]",,,80007480900016,80007480900016,oui,Autres activités de services,75013.0,Non,2013-11-15,2013-11-15,AGIR POUR SOULAGER LA DOULEUR,Point,"[2.36324, 48.82704]"
5036,PME,Active,"[48.858509, 2.376159]",Etablissement non employeur,-1,49174249000023,49174249000015,non,Autres activités de services,75011.0,Non,2006-06-01,2006-06-01,FEDERATION NATIONALE DES ECOLES DE MUSIQUE ET DE CHANT,Point,"[2.376159, 48.858509]"
5037,PME,Active,"[48.877768, 2.294045]",3 à 5 salariés,02,50999536100029,50999536100011,non,Autres activités de services,75017.0,Oui,2008-10-28,2008-10-28,LES ENTRETIENS DE L EXCELLENCE CLUB XXI E SIECLE,Point,"[2.294045, 48.877768]"
5038,,Active,"[48.875336, 2.356131]",,,53022517600037,53022517600011,non,"Arts, spectacles et activités récréatives",75010.0,Non,2011-01-01,2011-01-01,PARIS BEER CLUB (PBC),Point,"[2.356131, 48.875336]"
5039,PME,Active,"[48.833572, 2.367112]",1 ou 2 salariés,01,39256200500067,39256200500067,oui,Santé humaine et action sociale,75013.0,Oui,1989-07-18,2009-01-24,FEDERATION NATIONALE MAISONS POTES,Point,"[2.367112, 48.833572]"
5040,,Active,"[48.895687, 2.340119]",,,81403259500039,81403259500013,non,Autres activités de services,75018.0,Non,2015-05-13,2015-05-13,WOMENABILITY,Point,"[2.340119, 48.895687]"
5041,PME,Active,"[48.871366, 2.387323]",6 à 9 salariés,03,33956465000010,33956465000028,non,Santé humaine et action sociale,75020.0,Oui,1986-11-03,1986-11-03,GALIPETTE,Point,"[2.387323, 48.871366]"
5042,PME,Active,"[48.872076, 2.35721]",3 à 5 salariés,02,44249866300040,44249866300032,non,Information et communication,75010.0,Oui,2001-10-29,2005-06-14,LES FICHES DU CINEMA,Point,"[2.35721, 48.872076]"
5043,PME,Active,"[48.845547, 2.383674]",1 ou 2 salariés,01,32370840400047,32370840400039,non,Information et communication,75012.0,Oui,1980-10-31,1990-07-15,ASS RADIO ALIGRE FM,Point,"[2.383674, 48.845547]"
5044,PME,Active,"[48.876275, 2.402739]",1 ou 2 salariés,01,34439249300054,34439249300054,oui,"Arts, spectacles et activités récréatives",75019.0,Oui,1988-01-04,1994-06-01,L ART STUDIO THEATRE,Point,"[2.402739, 48.876275]"
5045,,Active,"[48.888926, 2.368043]",,,49916896100013,49916896100013,oui,Autres activités de services,75019.0,Non,2003-11-03,2003-11-03,ASSOCIATION DE DEVELOPPEMENT ET DE SOLIDARITE DU VILLAGE D'AGNAM-CIVOL EN FRANCE (A.D.S.A.C.F.),Point,"[2.368043, 48.888926]"
5046,PME,Active,"[48.844631, 2.34406]",3 à 5 salariés,02,45306863700017,45306863700017,oui,"Arts, spectacles et activités récréatives",75005.0,Oui,2004-01-01,2004-01-01,OPERA FUOCO,Point,"[2.34406, 48.844631]"
5047,PME,Active,"[48.857362, 2.377517]",0 salarié,00,47856461000069,47856461000044,non,"Arts, spectacles et activités récréatives",75011.0,Oui,2004-05-12,2011-12-05,ACETONE,Point,"[2.377517, 48.857362]"
5048,PME,Active,"[48.878043, 2.368441]",1 ou 2 salariés,01,53533099700045,53533099700045,oui,Autres activités de services,75010.0,Oui,2011-08-11,2018-02-10,OBSERVATOIRE PHAROS - OBSERVATOIRE DU PLURALISME DES CULTURES ET DES RELIGIONS,Point,"[2.368441, 48.878043]"
5049,PME,Active,"[48.889739, 2.39001]",6 à 9 salariés,03,33457048800067,33457048800059,non,"Arts, spectacles et activités récréatives",75019.0,Oui,1985-11-04,1998-10-11,ORCHESTRE NATIONAL DE JAZZ,Point,"[2.39001, 48.889739]"
5050,,Cessée,"[48.849176, 2.44343]",Etablissement non employeur,-1,53046788500014,53046788500014,oui,"Arts, spectacles et activités récréatives",94300.0,Oui,2011-02-26,2011-02-26,3 CULOTTES ET 1 CARTON,Point,"[2.44343, 48.849176]"
5051,,Active,"[48.870467, 2.403475]",Etablissement non employeur,-1,47826209000028,47826209000010,non,Autres activités de services,75020.0,Non,1977-03-05,1977-03-05,UNION PARIS DELE DEPART EDUCAT NATIONALE,Point,"[2.403475, 48.870467]"
5052,,Active,"[48.851447, 2.295425]",,,48953584900017,48953584900017,oui,Autres activités de services,75015.0,Non,1956-01-25,1956-01-25,ASSO LES AMITIES DE LA RESISTANCE,Point,"[2.295425, 48.851447]"
5053,PME,Active,"[48.881454, 2.325498]",1 ou 2 salariés,01,81366776300037,81366776300011,non,"Arts, spectacles et activités récréatives",75008.0,Non,2015-01-24,2015-01-24,KIVUKO COMPAGNIE,Point,"[2.325498, 48.881454]"
5054,,Active,"[48.82399, 2.319443]",,,78928790100019,78928790100019,oui,Autres activités de services,75014.0,Non,2012-09-14,2012-09-14,ASSOCIATION VERT-TIGE,Point,"[2.319443, 48.82399]"
5055,PME,Active,,Etablissement non employeur,-1,75026423600019,75026423600019,oui,"Arts, spectacles et activités récréatives",75116.0,Non,1994-05-16,1994-05-16,THEATRE A  DAUPHINE,,
5056,,Active,"[48.879002, 2.396076]",,,53990737800019,53990737800019,oui,Autres activités de services,75019.0,Non,2010-10-25,2010-10-25,YAADAL MARCHONS ENSEMBLE,Point,"[2.396076, 48.879002]"
5057,PME,Active,"[49.167978, -0.336209]",1 ou 2 salariés,01,49809849000036,49809849000036,oui,"Arts, spectacles et activités récréatives",14000.0,Oui,2007-03-14,2012-04-10,COMPAGNIE SANS SOUCIS,Point,"[-0.336209, 49.167978]"
5058,,Active,"[48.865104, 2.371041]",,,84121167500019,84121167500019,oui,Autres activités de services,75011.0,Non,2018-04-06,2018-04-06,MUSIQUE UNIVERSELLE ARC EN CIEL,Point,"[2.371041, 48.865104]"
5059,,Active,"[48.840958, 2.387422]",Etablissement non employeur,-1,48277728100023,48277728100023,oui,Autres activités de services,75012.0,Non,2002-02-16,2007-01-05,COURIR POUR LEPLAISIR,Point,"[2.387422, 48.840958]"
5060,PME,Active,"[49.413265, 1.918788]",3 à 5 salariés,02,44782973000061,44782973000061,oui,Autres activités de services,60650.0,Oui,1996-07-10,2008-07-22,GENERATIONS FUTURES,Point,"[1.918788, 49.413265]"
5061,PME,Active,"[43.647101, 3.877994]",3 à 5 salariés,02,75063995700034,75063995700026,non,Autres activités de services,34090.0,Oui,2011-11-17,2013-02-01,EXPERTS SOLIDAIRES,Point,"[3.877994, 43.647101]"
5062,PME,Active,"[48.822633, 2.361318]",1 ou 2 salariés,01,33166339300022,33166339300022,oui,Enseignement,75013.0,Oui,1985-01-01,2011-04-01,ASS LES AMIS DU 13,Point,"[2.361318, 48.822633]"
5063,PME,Active,"[48.855262, 2.304928]",20 à 49 salariés,12,78431331400022,78431331400014,non,Santé humaine et action sociale,75007.0,Oui,1900-01-01,1900-01-01,FEDERATION DES AVEUGLES ET AMBLYOPES DE FRANCE,Point,"[2.304928, 48.855262]"
5064,PME,Active,"[48.843314, 2.387163]",6 à 9 salariés,03,34016394800045,34016394800045,oui,Santé humaine et action sociale,75012.0,Oui,1986-11-01,1994-06-01,CRECHE LES GARDONS,Point,"[2.387163, 48.843314]"
5065,,Active,"[48.852489, 2.341101]",,,49428180100022,49428180100022,oui,Autres activités de services,75006.0,Non,2005-09-12,2011-02-12,ASS INFO RECH MALADIE RENALE GENETIQ,Point,"[2.341101, 48.852489]"
5066,PME,Active,"[48.832158, 2.29549]",3 à 5 salariés,02,39397786300033,39397786300033,oui,"Arts, spectacles et activités récréatives",75015.0,Oui,1993-10-26,1998-09-01,GROUPE ZORONGO,Point,"[2.29549, 48.832158]"
5067,,Active,"[48.830278, 2.333299]",,,80102962000011,80102962000011,oui,Autres activités de services,75014.0,Non,2013-06-14,2013-06-14,REUSSIR L'EGALITE FEMMES-HOMMES,Point,"[2.333299, 48.830278]"
5068,PME,Active,"[48.840209, 2.36322]",3 à 5 salariés,02,45052282600020,45052282600012,non,Autres activités de services,75013.0,Oui,1974-09-16,1974-09-16,SOC FR MEDECINE PHYSIQUE READAPTATION,Point,"[2.36322, 48.840209]"
5069,PME,Active,"[48.843706, 2.352139]",1 ou 2 salariés,01,32085252800035,32085252800035,oui,"Arts, spectacles et activités récréatives",75005.0,Oui,1981-01-09,2007-11-02,EN CORPS ET EN JEU,Point,"[2.352139, 48.843706]"
5070,PME,Active,,1 ou 2 salariés,01,03908456100016,03908456100016,oui,"Arts, spectacles et activités récréatives",75116.0,Oui,1995-12-25,1995-12-25,FONDATION MUSEE CLEMENCEAU,,
5071,,Active,"[48.847925, 2.305719]",,,79861478000012,79861478000012,oui,Autres activités de services,75015.0,Non,2013-04-13,2013-04-13,INSPIRING THROUGH INITIATIVE,Point,"[2.305719, 48.847925]"
5072,PME,Active,"[48.887499, 2.37328]",3 à 5 salariés,02,38323049700034,38323049700026,non,Autres activités de services,75019.0,Oui,1991-08-07,1998-05-20,ASS. DOCUMENTAIRE SUR GRAND ECRAN,Point,"[2.37328, 48.887499]"
5073,,Active,"[48.88, 2.350294]",,,78986073100015,78986073100015,oui,Autres activités de services,75010.0,Non,2012-06-14,2012-06-14,CENTRE INTERNATIONAL POUR LA PENSEE ET L'ART CONTEMPORAIN,Point,"[2.350294, 48.88]"
5074,PME,Active,"[44.855112, -0.573651]",1 ou 2 salariés,01,37813715200062,37813715200062,oui,"Arts, spectacles et activités récréatives",33000.0,Oui,1990-05-23,2007-01-03,COMPAGNIE PAUL LES OISEAUX,Point,"[-0.573651, 44.855112]"
5075,PME,Active,"[48.841799, 2.495661]",3 à 5 salariés,02,44468270200048,44468270200030,non,"Arts, spectacles et activités récréatives",94170.0,Oui,2002-10-09,2011-06-29,COMPAGNIE BARBES 35,Point,"[2.495661, 48.841799]"
5076,,Active,"[48.887183, 2.291542]",,,79109711600010,79109711600010,oui,"Arts, spectacles et activités récréatives",75017.0,Non,2012-07-09,2012-07-09,COBRITA FULL-FIGHT,Point,"[2.291542, 48.887183]"
5077,,Active,"[48.851852, 2.33474]",,,80128559400017,80128559400017,oui,"Arts, spectacles et activités récréatives",75006.0,Non,2014-01-24,2014-01-24,ASSOCIATION COLLECTIF LE MOUVEMENT,Point,"[2.33474, 48.851852]"
5078,PME,Active,"[48.779393, 2.31901]",Etablissement non employeur,-1,45055798800018,45055798800018,oui,Autres activités de services,92340.0,Oui,1996-05-22,1996-05-22,TRAMPOLINE CAMERA,Point,"[2.31901, 48.779393]"
5079,PME,Active,"[48.829977, 2.365568]",3 à 5 salariés,02,42984922700013,42984922700013,oui,"Arts, spectacles et activités récréatives",75013.0,Oui,1999-10-01,1999-10-01,A S ACTION JEUNESSE,Point,"[2.365568, 48.829977]"
