categorieentreprise,geolocetablissement,trancheeffectifsunitelegale,trancheeffectifsunitelegaletriable,siretsiegeunitelegale,siret,etablissementsiege,codepostaletablissement,caractereemployeurunitelegale,datecreationunitelegale,datecreationetablissement,denominationunitelegale,adresseetablissementcomplete
Non productif,"[48.87236, 2.387125]",Etablissement non employeur,-1,75140527500015,75140527500015,1,75020,0,2012-02-07,2012-02-07,ASSOCIATION JAYA !,"284 RUE DES PYRENEES, 75020 PARIS 20"
PME,"[48.856411, 2.269952]",Etablissement non employeur,-1,43278255500028,43278255500028,1,75016,1,2000-07-28,2011-02-28,GRAVESANDE THEATRE,"8 AVENUE VION WHITCOMB, 75016 PARIS 16"
Non productif,"[48.864515, 2.350924]",Etablissement non employeur,-1,81029580800010,81029580800010,1,75002,0,2015-03-03,2015-03-03,IF... - PLATEFORME D'INNOVATION INTERGENERATIONNELLE & INTERDISCIPLINAIRE,"3 RUE DE PALESTRO, 75002 PARIS 2"
Non productif,"[48.869602, 2.398142]",Etablissement non employeur,-1,52452348700014,52452348700014,1,75020,0,2009-09-17,2009-09-17,AGIR POUR LE DEPARTEMENT DE GOUDIRY,"22 RUE HELENE JAKUBOWICZ, 75020 PARIS 20"
PME,"[48.879793, 2.371921]",1 ou 2 salariés,1,78868669900026,78868669900018,0,75019,1,2012-05-14,2012-05-14,OUISHARE,"29 RUE DE MEAUX, 75019 PARIS 19"
Non productif,"[48.869323, 2.372383]",Etablissement non employeur,-1,79857823300024,79857823300016,0,75011,0,2012-09-26,2012-09-26,"NOISE, LA VILLE","6 RUE DES GONCOURT, 75011 PARIS 11"
PME,"[48.898852, 2.485716]",Etablissement non employeur,-1,51112270700017,51112270700017,1,93140,0,2007-10-01,2007-10-01,COMPAGNIE BIJETTE 93,"2 RUE NOEMIE, 93140 BONDY"
Non productif,"[48.893801, 2.32788]",Etablissement non employeur,-1,74993824700014,74993824700014,1,75018,0,2011-12-23,2011-12-23,ASSOCIATION IDANCE,"98 AVENUE DE SAINT OUEN, 75018 PARIS 18"
PME,"[2.2843696,48.8683511]",10 à 19 salariés,11,47958677800033,47958677800033,1,75116,1,2003-02-11,2011-01-01,LE PETIT SMASH,"10 RUE MESNIL, 75116 PARIS 16"
Non productif,"[48.82704, 2.36324]",Etablissement non employeur,-1,80007480900016,80007480900016,1,75013,0,2013-11-15,2013-11-15,AGIR POUR SOULAGER LA DOULEUR,"8 RUE CHARLES MOUREU, 75013 PARIS 13"
PME,"[48.858509, 2.376159]",Etablissement non employeur,-1,49174249000023,49174249000015,0,75011,0,2006-06-01,2006-06-01,FEDERATION NATIONALE DES ECOLES DE MUSIQUE ET DE CHANT,"41 RUE BREGUET, 75011 PARIS 11"
PME,"[48.877768, 2.294045]",3 à 5 salariés,2,50999536100029,50999536100011,0,75017,1,2008-10-28,2008-10-28,LES ENTRETIENS DE L EXCELLENCE CLUB XXI E SIECLE,"33 AVENUE MAC MAHON, 75017 PARIS 17"
Non productif,"[48.875336, 2.356131]",Etablissement non employeur,-1,53022517600037,53022517600011,0,75010,0,2011-01-01,2011-01-01,PARIS BEER CLUB (PBC),"110 RUE DU FBG SAINT DENIS, 75010 PARIS 10"
PME,"[48.833572, 2.367112]",1 ou 2 salariés,1,39256200500067,39256200500067,1,75013,1,1989-07-18,2009-01-24,FEDERATION NATIONALE MAISONS POTES,"16 SQUARE DUNOIS, 75013 PARIS 13"
Non productif,"[48.895687, 2.340119]",Etablissement non employeur,-1,81403259500039,81403259500013,0,75018,0,2015-05-13,2015-05-13,WOMENABILITY,"111 RUE CHAMPIONNET, 75018 PARIS 18"
PME,"[48.871366, 2.387323]",6 à 9 salariés,3,33956465000010,33956465000028,0,75020,1,1986-11-03,1986-11-03,GALIPETTE,"12 RUE BOTHA, 75020 PARIS 20"
PME,"[48.872076, 2.35721]",3 à 5 salariés,2,44249866300040,44249866300032,0,75010,1,2001-10-29,2005-06-14,LES FICHES DU CINEMA,"69 RUE DU FAUBOURG SAINT MARTIN, 75010 PARIS 10"
PME,"[48.845547, 2.383674]",1 ou 2 salariés,1,32370840400047,32370840400039,0,75012,1,1980-10-31,1990-07-15,ASS RADIO ALIGRE FM,"8 RUE CHALIGNY, 75012 PARIS 12"
PME,"[48.876275, 2.402739]",1 ou 2 salariés,1,34439249300054,34439249300054,1,75019,1,1988-01-04,1994-06-01,L ART STUDIO THEATRE,"299 RUE DE BELLEVILLE, 75019 PARIS 19"
Non productif,"[48.888926, 2.368043]",Etablissement non employeur,-1,49916896100013,49916896100013,1,75019,0,2003-11-03,2003-11-03,ASSOCIATION DE DEVELOPPEMENT ET DE SOLIDARITE DU VILLAGE D'AGNAM-CIVOL EN FRANCE (A.D.S.A.C.F.),"82 RUE D AUBERVILLIERS, 75019 PARIS 19"
PME,"[48.844631, 2.34406]",3 à 5 salariés,2,45306863700017,45306863700017,1,75005,1,2004-01-01,2004-01-01,OPERA FUOCO,"12 RUE PIERRE ET MARIE CURIE, 75005 PARIS 5"
PME,"[48.857362, 2.377517]",0 salarié,0,47856461000069,47856461000044,0,75011,1,2004-05-12,2011-12-05,ACETONE,"10 RUE POPINCOURT, 75011 PARIS 11"
PME,"[48.878043, 2.368441]",1 ou 2 salariés,1,53533099700045,53533099700045,1,75010,1,2011-08-11,2018-02-10,OBSERVATOIRE PHAROS - OBSERVATOIRE DU PLURALISME DES CULTURES ET DES RELIGIONS,"3 PLACE ROBERT DESNOS, 75010 PARIS 10"
PME,"[48.889739, 2.39001]",6 à 9 salariés,3,33457048800067,33457048800059,0,75019,1,1985-11-04,1998-10-11,ORCHESTRE NATIONAL DE JAZZ,"11 RUE EDGAR VARESE, 75019 PARIS 19"
Non productif,"[48.849176, 2.44343]",Etablissement non employeur,-1,53046788500014,53046788500014,1,94300,1,2011-02-26,2011-02-26,3 CULOTTES ET 1 CARTON,"31 RUE DE LA JARRY, 94300 VINCENNES"
Non productif,"[48.870467, 2.403475]",Etablissement non employeur,-1,47826209000028,47826209000010,0,75020,0,1977-03-05,1977-03-05,UNION PARIS DELE DEPART EDUCAT NATIONALE,"94 AVENUE GAMBETTA, 75020 PARIS 20"
Non productif,"[48.851447, 2.295425]",Etablissement non employeur,-1,48953584900017,48953584900017,1,75015,0,1956-01-25,1956-01-25,ASSO LES AMITIES DE LA RESISTANCE,"16 PLACE DUPLEIX, 75015 PARIS 15"
PME,"[48.881454, 2.325498]",1 ou 2 salariés,1,81366776300037,81366776300011,0,75008,0,2015-01-24,2015-01-24,KIVUKO COMPAGNIE,"24 RUE DE SAINT PETERSBOURG, 75008 PARIS 8"
Non productif,"[48.82399, 2.319443]",Etablissement non employeur,-1,78928790100019,78928790100019,1,75014,0,2012-09-14,2012-09-14,ASSOCIATION VERT-TIGE,"3 RUE NICOLAS TAUNAY, 75014 PARIS 14"
PME,"[48.8710273,2.271914]",Etablissement non employeur,-1,75026423600019,75026423600019,1,75116,0,1994-05-16,1994-05-16,THEATRE A  DAUPHINE,"1 PLACE MAL DE LATTRE DE TASSIGNY, 75116 PARIS 16"
Non productif,"[48.879002, 2.396076]",Etablissement non employeur,-1,53990737800019,53990737800019,1,75019,0,2010-10-25,2010-10-25,YAADAL MARCHONS ENSEMBLE,"25 RUE DES LILAS, 75019 PARIS 19"
PME,"[49.167978, -0.336209]",1 ou 2 salariés,1,49809849000036,49809849000036,1,14000,1,2007-03-14,2012-04-10,COMPAGNIE SANS SOUCIS,"74 BOULEVARD DE RETHEL, 14000 CAEN"
Non productif,"[48.865104, 2.371041]",Etablissement non employeur,-1,84121167500019,84121167500019,1,75011,0,2018-04-06,2018-04-06,MUSIQUE UNIVERSELLE ARC EN CIEL,"66 RUE DE LA FOLIE MERICOURT, 75011 PARIS 11"
Non productif,"[48.840958, 2.387422]",Etablissement non employeur,-1,48277728100023,48277728100023,1,75012,0,2002-02-16,2007-01-05,COURIR POUR LEPLAISIR,"212 RUE DE CHARENTON, 75012 PARIS 12"
PME,"[49.413265, 1.918788]",3 à 5 salariés,2,44782973000061,44782973000061,1,60650,1,1996-07-10,2008-07-22,GENERATIONS FUTURES,"935 RUE DE LA MONTAGNE, 60650 ONS-EN-BRAY"
PME,"[43.647101, 3.877994]",3 à 5 salariés,2,75063995700034,75063995700026,0,34090,1,2011-11-17,2013-02-01,EXPERTS SOLIDAIRES,"859 RUE JEAN FRANCOIS BRETON, 34090 MONTPELLIER"
PME,"[48.822633, 2.361318]",1 ou 2 salariés,1,33166339300022,33166339300022,1,75013,1,1985-01-01,2011-04-01,ASS LES AMIS DU 13,"11 RUE CAILLAUX, 75013 PARIS 13"
PME,"[48.855262, 2.304928]",20 à 49 salariés,12,78431331400022,78431331400014,0,75007,1,1900-01-01,1900-01-01,FEDERATION DES AVEUGLES ET AMBLYOPES DE FRANCE,"58 AVENUE BOSQUET, 75007 PARIS 7"
PME,"[48.843314, 2.387163]",6 à 9 salariés,3,34016394800045,34016394800045,1,75012,1,1986-11-01,1994-06-01,CRECHE LES GARDONS,"15 RUE MONTGALLET, 75012 PARIS 12"
Non productif,"[48.852489, 2.341101]",Etablissement non employeur,-1,49428180100022,49428180100022,1,75006,0,2005-09-12,2011-02-12,ASS INFO RECH MALADIE RENALE GENETIQ,"34 RUE SERPENTE, 75006 PARIS 6"
PME,"[48.832158, 2.29549]",3 à 5 salariés,2,39397786300033,39397786300033,1,75015,1,1993-10-26,1998-09-01,GROUPE ZORONGO,"17 RUE DE LA SAIDA, 75015 PARIS 15"
Non productif,"[48.830278, 2.333299]",Etablissement non employeur,-1,80102962000011,80102962000011,1,75014,0,2013-06-14,2013-06-14,REUSSIR L'EGALITE FEMMES-HOMMES,"10 RUE DU COUEDIC, 75014 PARIS 14"
PME,"[48.840209, 2.36322]",3 à 5 salariés,2,45052282600020,45052282600012,0,75013,1,1974-09-16,1974-09-16,SOC FR MEDECINE PHYSIQUE READAPTATION,"47 BOULEVARD DE L HOPITAL, 75013 PARIS 13"
PME,"[48.843706, 2.352139]",1 ou 2 salariés,1,32085252800035,32085252800035,1,75005,1,1981-01-09,2007-11-02,EN CORPS ET EN JEU,"66 RUE MONGE, 75005 PARIS 5"
PME,"[2.2850796,48.859205]",1 ou 2 salariés,1,03908456100016,03908456100016,1,75116,1,1995-12-25,1995-12-25,FONDATION MUSEE CLEMENCEAU,"8 RUE BENJAMIN FRANKLIN, 75116 PARIS 16"
Non productif,"[48.847925, 2.305719]",Etablissement non employeur,-1,79861478000012,79861478000012,1,75015,0,2013-04-13,2013-04-13,INSPIRING THROUGH INITIATIVE,"130 AVENUE DE SUFFREN, 75015 PARIS 15"
PME,"[48.887499, 2.37328]",3 à 5 salariés,2,38323049700034,38323049700026,0,75019,1,1991-08-07,1998-05-20,ASS. DOCUMENTAIRE SUR GRAND ECRAN,"52 AVENUE DE FLANDRE, 75019 PARIS 19"
Non productif,"[48.88, 2.350294]",Etablissement non employeur,-1,78986073100015,78986073100015,1,75010,0,2012-06-14,2012-06-14,CENTRE INTERNATIONAL POUR LA PENSEE ET L'ART CONTEMPORAIN,"71 RUE DE MAUBEUGE, 75010 PARIS 10"
PME,"[44.855112, -0.573651]",1 ou 2 salariés,1,37813715200062,37813715200062,1,33000,1,1990-05-23,2007-01-03,COMPAGNIE PAUL LES OISEAUX,"25 RUE CAMILLE GODARD, 33000 BORDEAUX"
PME,"[48.841799, 2.495661]",3 à 5 salariés,2,44468270200048,44468270200030,0,94170,1,2002-10-09,2011-06-29,COMPAGNIE BARBES 35,"21 RUE CHARLES OLLIER, 94170 LE PERREUX-SUR-MARNE"
Non productif,"[48.887183, 2.291542]",Etablissement non employeur,-1,79109711600010,79109711600010,1,75017,0,2012-07-09,2012-07-09,COBRITA FULL-FIGHT,"16 BOULEVARD DE LA SOMME, 75017 PARIS 17"
Non productif,"[48.851852, 2.33474]",Etablissement non employeur,-1,80128559400017,80128559400017,1,75006,0,2014-01-24,2014-01-24,ASSOCIATION COLLECTIF LE MOUVEMENT,"9 RUE GUISARDE, 75006 PARIS 6"
PME,"[48.779393, 2.31901]",Etablissement non employeur,-1,45055798800018,45055798800018,1,92340,1,1996-05-22,1996-05-22,TRAMPOLINE CAMERA,"23 RUE RAVON, 92340 BOURG-LA-REINE"
PME,"[48.829977, 2.365568]",3 à 5 salariés,2,42984922700013,42984922700013,1,75013,1,1999-10-01,1999-10-01,A S ACTION JEUNESSE,"74 RUE CLISSON, 75013 PARIS 13"
Non productif,"[48.87568, 2.341707]",Etablissement non employeur,-1,80761174400010,80761174400010,1,75009,0,2014-10-21,2014-10-21,9EME NATURE,"5 RUE DE CHATEAUDUN, 75009 PARIS 9"
PME,"[48.877087, 2.351955]",1 ou 2 salariés,1,45002466600015,45002466600023,0,75010,1,2003-06-02,2003-06-02,CENTRE PSYCHANALYTIQUE CONSULT TRAITEMEN,"40 RUE DE CHABROL, 75010 PARIS 10"
Non productif,"[48.832859, 2.370383]",Etablissement non employeur,-1,82780972400012,82780972400012,1,75013,0,2016-10-01,2016-10-01,COMPOS13,"163 RUE DU CHEVALERET, 75013 PARIS 13"
PME,"[45.941731, 0.478071]",0 salarié,0,81183926500022,81183926500022,1,16450,1,2015-06-02,2018-02-27,LES CHIENS ANDALOUS,"29 RUE GRAND'RUE, 16450 SAINT-LAURENT-DE-CERIS"
PME,"[48.890069, 2.347335]",1 ou 2 salariés,1,42111154300045,42111154300045,1,75018,1,1998-04-23,2008-03-11,ASS LA STRADA DEL ARTE,"15 PASSAGE RAMEY, 75018 PARIS 18"
PME,"[48.879987, 2.36535]",10 à 19 salariés,11,30021824500045,30021824500045,1,75010,1,1900-01-01,1999-02-12,SOC DES REALISATEURS DE FILMS,"14 RUE ALEXANDRE PARODI, 75010 PARIS 10"
PME,"[48.899056, 2.283781]",Etablissement non employeur,-1,75229608700014,75229608700014,1,92300,1,2011-10-21,2011-10-21,ASS CITYZENMOMES,"34 RUE ANDRE CITROEN, 92300 LEVALLOIS-PERRET"
Non productif,"[48.888584, 2.373253]",Etablissement non employeur,-1,44333920500025,44333920500025,1,75019,0,1978-05-10,2005-03-02,MARTIGUA SPORTS CULTURE & LOISIRS,"27 RUE RIQUET, 75019 PARIS 19"
PME,"[48.89737, 2.33739]",1 ou 2 salariés,1,44381965100029,44381965100029,1,75018,1,2002-10-22,2005-01-01,}EGENERATION{,"4 PASSAGE DU POTEAU, 75018 PARIS 18"
PME,"[48.826272, 2.317329]",3 à 5 salariés,2,53855611900013,53855611900013,1,75014,1,2011-10-17,2011-10-17,BABBEL,"11  VLA BRUNE, 75014 PARIS 14"
PME,"[48.870856, 2.305367]",Etablissement non employeur,-1,75261576500027,75261576500027,1,75008,0,2012-05-08,2012-08-21,UNION INTERNATIONALE DES ORGANISATIONS DE SECOURS ET SOINS MEDICAUX,"66 AVENUE DES CHAMPS ELYSEES, 75008 PARIS 8"
PME,"[43.288508, 5.399393]",0 salarié,0,43371136300054,43371136300039,0,13005,1,2000-08-03,2008-10-22,COMPAGNIE COMCA,"10 RUE CAPITAINE GALINAT, 13005 MARSEILLE 5"
Non productif,"[48.829774, 2.327796]",Etablissement non employeur,-1,82095933600018,82095933600018,1,75014,0,2016-04-19,2016-04-19,RENDEZ-VOUS,"4 RUE THIBAUD, 75014 PARIS 14"
Non productif,"[48.836731, 2.395416]",Etablissement non employeur,-1,79537851200011,79537851200011,1,75012,0,2013-08-21,2013-08-21,NOVA'C,"36 RUE NICOLAI, 75012 PARIS 12"
PME,"[48.844496, 2.344017]",1 ou 2 salariés,1,41972519700018,41972519700018,1,75005,1,1998-01-01,1998-01-01,STE FRANCAISE DE STATISTIQUE,"11 RUE PIERRE ET MARIE CURIE, 75005 PARIS 5"
PME,"[48.83659, 2.403123]",1 ou 2 salariés,1,41751028600038,41751028600038,1,75012,1,1997-11-18,2005-10-10,LE CANARI BLEU,"256 AVENUE DAUMESNIL, 75012 PARIS 12"
PME,"[48.866879, 2.375511]",6 à 9 salariés,3,45223637500013,45223637500013,1,75011,1,2003-11-27,2003-11-27,BRESIL-SUR-SEINE,"2 PASSAGE DE LA FONDERIE, 75011 PARIS 11"
PME,"[48.839825, 2.399238]",6 à 9 salariés,3,40776698900021,40776698900021,1,75012,1,1996-05-17,1996-05-17,ASS DESTINATION MUSIQUE,"69 BOULEVARD DE REUILLY, 75012 PARIS 12"
Non productif,"[48.833323, 2.326302]",Etablissement non employeur,-1,52886306100024,52886306100024,1,75014,0,1980-06-03,2012-07-12,ASSOCIATION SPORTIVE DU LYCEE ERIK SATIE,"2 RUE PIERRE CASTAGNOU, 75014 PARIS 14"
Non productif,"[48.826591, 2.332136]",Etablissement non employeur,-1,81955612700028,81955612700010,0,75014,0,2016-03-18,2016-03-18,ASSOCIATION FRANCAISE DE L'INTELLIGENCE EMOTIONNELLE,"97 RUE DE LA TOMBE ISSOIRE, 75014 PARIS 14"
Non productif,"[48.890788, 2.370188]",Etablissement non employeur,-1,80536535000018,80536535000018,1,75019,0,2011-07-08,2011-07-08,ASSOCIATION DES PARENTS D'ELEVES DU 132 RUE D'AUBERVILLIERS,"23 VILLA CURIAL, 75019 PARIS 19"
Non productif,"[48.808227, 2.367088]",Etablissement non employeur,-1,81022485700013,81022485700013,1,94270,0,2011-12-15,2011-12-15,ALTER/REALITES,"5 RUE GEORGES POMPIDOU, 94270 LE KREMLIN-BICETRE"
PME,"[48.820512, 2.316937]",Etablissement non employeur,-1,30823523300027,30823523300050,0,92120,0,1980-01-01,1997-08-01,FEDERATION NATIONALE DES SOURDS FRANCE,"1 RUE DU 11 NOVEMBRE, 92120 MONTROUGE"
PME,"[48.760775, 2.305289]",Etablissement non employeur,-1,38459034500029,38459034500029,1,92160,1,1991-12-20,1993-09-22,ATEL THEATRE HIBOU CIE LUIS JAIME CORTEZ,"31 RUE DES MORTEAUX, 92160 ANTONY"
PME,"[48.867889, 2.370231]",1 ou 2 salariés,1,31863506700040,31863506700032,0,75011,0,1980-01-01,2002-06-01,AVENIR POUR L ENFANT DES RIZIERES,"18 RUE DE LA PIERRE LEVEE, 75011 PARIS 11"
Non productif,"[48.877552, 2.306525]",Etablissement non employeur,-1,82491015200019,82491015200019,1,75008,0,2016-06-10,2016-06-10,WAYRA,"64 RUE DE COURCELLES, 75008 PARIS 8"
PME,"[48.831141, 2.309803]",1 ou 2 salariés,1,44370017400032,44370017400024,0,75014,0,2002-04-10,2004-01-01,ROYAL ROUVIER CHESS CLUB R2C2,"8 RUE MAURICE ROUVIER, 75014 PARIS 14"
PME,"[48.796054, 2.330992]",1 ou 2 salariés,1,44518194400056,44518194400056,1,94230,1,2002-12-01,2011-07-01,LA COMPAGNIE DES DRAMATICULES,"10 AVENUE DU PRESIDENT WILSON, 94230 CACHAN"
Non productif,"[48.836287, 2.385271]",Etablissement non employeur,-1,75013721800012,75013721800012,1,75012,0,2011-09-21,2011-09-21,LE M.U.R. XIII.,"16 RUE DE BERCY, 75012 PARIS 12"
PME,"[43.599746, 1.442474]",1 ou 2 salariés,1,42503409700039,42503409700039,1,31000,1,1997-03-04,2006-10-17,ASSOC COOPERATION ENTRE ACTEURS DEVELOPP,"51 RUE DES PARADOUX, 31000 TOULOUSE"
PME,"[48.851914, 2.402222]",6 à 9 salariés,3,33933220700028,33933220700010,0,75020,1,1986-11-15,1986-11-15,LUTINLUNE,"42 RUE D AVRON, 75020 PARIS 20"
Non productif,"[48.848452, 2.399542]",Etablissement non employeur,-1,79917987400018,79917987400018,1,75020,0,2005-10-13,2005-10-13,CHAMPS ELYSEES DU 20E (COURS DE VINCENNES PLAINE LAGNY),"1 COURS DE VINCENNES, 75020 PARIS 20"
Non productif,"[48.893408, 2.344752]",Etablissement non employeur,-1,79943568000027,79943568000019,0,75018,0,2013-10-05,2013-10-05,TERMOS,"91 RUE DU MONT CENIS, 75018 PARIS 18"
Non productif,"[48.852861, 2.339526]",Etablissement non employeur,-1,40482612500019,40482612500019,1,75006,0,1993-01-01,1993-01-01,ARS MATHEMATICA,"1 COURS DE ROHAN, 75006 PARIS 6"
Non productif,"[48.819058, 2.322556]",Etablissement non employeur,-1,53315188200016,53315188200016,1,92120,0,2010-04-13,2010-04-13,AGWAIRA,"3  VLA DU CADRAN SOLAIRE, 92120 MONTROUGE"
Non productif,"[48.851944, 2.373141]",Etablissement non employeur,-1,52071918800028,52071918800010,0,75012,0,1998-06-11,1998-06-11,CHANTAL MAUDUIT NAMASTE,"56 RUE DU FBG ST ANTOINE, 75012 PARIS 12"
Non productif,"[48.845103, 2.272363]",Etablissement non employeur,-1,53906109300016,53906109300016,1,75016,0,2011-07-08,2011-07-08,ASSOCIATION CLUB OMNISPORTS DU 16,"94 QUAI LOUIS BLERIOT, 75016 PARIS 16"
PME,"[48.856228, 2.426138]",1 ou 2 salariés,1,52966914500037,52966914500011,0,93100,1,2010-10-21,2010-10-21,BELLADONE,"131 RUE DE PARIS, 93100 MONTREUIL"
PME,"[48.898296, 2.092432]",Etablissement non employeur,-1,43416364800042,43416364800042,1,78100,1,2001-01-01,2012-12-28,LE PASSAGE,"12 RUE DE LA REPUBLIQUE, 78100 SAINT-GERMAIN-EN-LAYE"
Non productif,"[48.817877, 2.292868]",Etablissement non employeur,-1,50026478300019,50026478300019,1,92240,0,1996-05-30,1996-05-30,ASSOCIATION URBAINE CULTURE PRODUCTION,"11 BOULEVARD CAMELINAT, 92240 MALAKOFF"
PME,"[48.872191, 2.38757]",3 à 5 salariés,2,53071863400047,53071863400021,0,75020,0,2011-02-08,2011-11-14,LA MECANIQUE DE L INSTANT,"36 RUE DES ENVIERGES, 75020 PARIS 20"
PME,"[48.740312, 2.347488]",6 à 9 salariés,3,33255425200038,33255425200038,1,91320,1,1985-05-01,2002-03-15,ESPACE MUSICAL,"2 RUE DES PYRENEES, 91320 WISSOUS"
PME,"[48.830071, 2.346111]",10 à 19 salariés,11,78454347200012,78454347200012,1,75013,1,1900-01-01,1900-01-01,DISPENSAIRE HAHNEMANN,"99 BOULEVARD AUGUSTE BLANQUI, 75013 PARIS 13"
PME,"[48.858124, 2.397783]",0 salarié,0,82747777900017,82747777900017,1,75020,1,2017-01-18,2017-01-18,COLLECTIF DU PRELUDE,"21 RUE LIGNER, 75020 PARIS 20"
PME,"[48.861266, 2.378502]",0 salarié,0,50979667800027,50979667800027,1,75011,1,2008-09-15,2011-08-01,ASS YK PROJECTS,"8 RUE DU GENERAL RENAULT, 75011 PARIS 11"
Non productif,"[48.856849, 2.43732]",Etablissement non employeur,-1,45210342700012,45210342700012,1,93100,0,2002-09-01,2002-09-01,CLAP NOIR,"18 RUE DE VINCENNES, 93100 MONTREUIL"
PME,"[48.99823, 2.347091]",3 à 5 salariés,2,83329878900037,83329878900011,0,95350,0,2017-10-19,2017-10-19,LA COMPAGNIE DU CREPUSCULE,"3 CHEMIN FONTAINE DES NOYERS, 95350 SAINT-BRICE-SOUS-FORET"
PME,"[48.807819, 2.419175]",1 ou 2 salariés,1,78959879400020,78959879400012,0,94140,1,2011-11-28,2011-11-28,J'AIME LE VERT,"128 RUE EDOUARD VAILLANT, 94140 ALFORTVILLE"
PME,"[48.870718, 2.356411]",Etablissement non employeur,-1,38490602000019,38490602000019,1,75010,1,1990-11-21,1990-11-21,L ASSOCIATION DU 41,"41 RUE DU FAUBOURG SAINT MARTIN, 75010 PARIS 10"
PME,"[45.765306, 4.835535]",1 ou 2 salariés,1,49388855600021,49388855600021,1,69001,1,2006-11-12,2007-04-25,BLOFFIQUE THEATRE,"17 RUE NEUVE, 69001 LYON 1ER"
PME,"[48.890069, 2.347335]",Etablissement non employeur,-1,53802536200020,53802536200020,1,75018,1,2011-07-05,2016-04-08,FIBROME INFO FRANCE,"15 PASSAGE RAMEY, 75018 PARIS 18"
PME,"[48.766136, 2.285772]",6 à 9 salariés,3,50017689600040,50017689600016,0,92290,1,2006-11-14,2006-11-14,GROUPE SOS PULSE,"GRANDE VOIE DES VIGNES, 92290 CHATENAY-MALABRY"
Non productif,"[48.867634, 2.379038]",Etablissement non employeur,-1,53415664100035,53415664100027,0,75011,0,2011-07-27,2013-10-15,EN AVANT TOUTE II,"30 RUE MORET, 75011 PARIS 11"
PME,"[48.84747, 2.306071]",10 à 19 salariés,11,82262630500038,82262630500012,0,75015,1,2016-07-27,2016-07-27,EXPERIMENTATION TERRITORIALE CONTRE LE CHOMAGE DE LONGUE DUREE,"77 AVENUE DE SEGUR, 75015 PARIS 15"
Non productif,"[48.863941, 2.276653]",Etablissement non employeur,-1,52815162400012,52815162400012,1,75016,0,2009-04-10,2009-04-10,COMITE D'ENTENTE DES ASSOCIATIONS D'ANCIENS COMBATTANTS ET VICTIME DE GUERRE DU 16EMME ARRONDISSEMENT,"71 AVENUE HENRI MARTIN, 75016 PARIS 16"
Non productif,"[48.913972, 2.271514]",Etablissement non employeur,-1,82939205900012,82939205900012,1,92270,0,2003-06-16,2003-06-16,ASSOCIATION POUR LES FEMMES DE DOUBLE CULTURE,"21 RUE DU GENERAL LECLERC, 92270 BOIS-COLOMBES"
Non productif,"[2.2870614,48.8714574]",Etablissement non employeur,-1,49405929800021,49405929800013,0,75116,0,1994-01-08,1994-01-08,ANFFMRF,"10 RUE LEROUX, 75116 PARIS 16"
PME,"[48.880853, 2.371478]",6 à 9 salariés,3,53417019600032,53417019600016,0,75019,1,2011-09-01,2011-09-01,PRIM'ADAL,"12 RUE DE CHAUMONT, 75019 PARIS 19"
PME,"[48.875968, 2.33209]",50 à 99 salariés,21,31528108900021,31528108900021,1,75009,1,1979-01-01,1980-03-01,A.P.E.S.D.A.M.M,"68 RUE DE LA CHAUSSEE D ANTIN, 75009 PARIS 9"
PME,"[48.795737, 2.325141]",1 ou 2 salariés,1,43416100600011,43416100600011,1,94230,1,2000-03-28,2000-03-28,LA BOUILLOIRE,"2 RUE DE CONDORCET, 94230 CACHAN"
PME,"[48.877911, 2.388085]",1 ou 2 salariés,1,51770639600010,51770639600010,1,75019,1,2009-09-01,2009-09-01,BUREAU 66,"66 RUE DE LA VILLETTE, 75019 PARIS 19"
PME,"[48.844759, 2.279597]",1 ou 2 salariés,1,42938631100014,42938631100014,1,75015,1,1958-04-19,1958-04-19,CHOEURS D ENFANTS DE ST CHRISTOPHE,"28 RUE DE LA CONVENTION, 75015 PARIS 15"
PME,"[48.87555, 2.345414]",Etablissement non employeur,-1,78418022600036,78418022600036,1,75009,1,1900-01-01,2002-03-29,UNION CATHOLIQ THEATRE MUSIQ,"45 RUE DE TREVISE, 75009 PARIS 9"
PME,"[48.952414, 2.268041]",Etablissement non employeur,-1,79277042200022,79277042200014,0,95100,1,2013-05-02,2013-05-02,COMPAGNIE MINUIT10,"102 AVENUE DE STALINGRAD, 95100 ARGENTEUIL"
PME,"[48.866013, 2.39564]",Etablissement non employeur,-1,39045006200059,39045006200042,0,75020,1,1990-12-07,2012-03-09,CHAMADA DE ANGOLA,"17 RUE ORFILA, 75020 PARIS 20"
PME,"[48.888588, 2.317713]",1 ou 2 salariés,1,80026174500023,80026174500015,0,75017,0,2013-12-17,2013-12-17,ART EN VILLE,"12 RUE BROCHANT, 75017 PARIS 17"
Non productif,"[48.854288, 2.351089]",Etablissement non employeur,-1,53846310000023,53846310000015,0,75004,0,1969-03-27,1969-03-27,FEDERATION DES ANCIENS COMBATTANTS ET RESISTANTS DE LA PREFECTURE DE POLICE FURPP FACRDIPVGPP,"11 RUE DES URSINS, 75004 PARIS 4"
Non productif,"[48.887852, 2.296969]",Etablissement non employeur,-1,50474356800025,50474356800025,1,75017,0,2008-01-01,2013-02-13,RESEAU FIVOARANA DEVELOPPEMENT,"4 SQUARE DU THIMERAIS, 75017 PARIS 17"
